No.,ID,Name Variable,Value,Timestamp,Kind of Data,Connected Wifi
12,65_TT_02B,0.0,2024-07-10T15:07:57.584895,real,1
13,65_TT_03B,0.0,2024-07-10T15:07:57.625619,real,1
14,65_TT_04B,0.0,2024-07-10T15:07:57.648927,real,1
15,65_TT_05B,0.0,2024-07-10T15:07:57.682379,real,1
16,65_TT_06B,0.0,2024-07-10T15:07:57.711026,real,1
17,65_PT_01B,0,2024-07-10T15:07:57.739105,real,1
18,65_PT_02B,0,2024-07-10T15:07:57.772720,real,1
19,65_PT_03B,0,2024-07-10T15:07:57.814932,real,1
20,65_FT_01,0,2024-07-10T15:07:57.881797,real,1
21,65_TIDC_01B_Td,0.0,2024-07-10T15:07:57.926763,real,1
22,65_TIDC_01B_T,0.0,2024-07-10T15:07:57.984778,real,1
23,65_TIDC_01B_X,0.0,2024-07-10T15:07:58.030863,real,1
24,65_TIDC_01B_RH,0.0,2024-07-10T15:07:58.080638,real,1
25,65_TIDC_02B_Td,0.0,2024-07-10T15:07:58.100778,real,1
26,65_TIDC_02B_T,0.0,2024-07-10T15:07:58.152786,real,1
27,65_TIDC_02B_X,0.0,2024-07-10T15:07:58.182505,real,1
28,65_TIDC_02B_RH,0.0,2024-07-10T15:07:58.232193,real,1
29,Tota_Flow,0,2024-07-10T15:07:58.279390,real,1
30,65_WIT_01B,0,2024-07-10T15:07:58.297250,real,1
31,65_WIT_02B,0,2024-07-10T15:07:58.342213,real,1
32,65_PIDV_01_Value,0.0,2024-07-10T15:07:58.396672,real,1
33,65_PIDV_02_Value,0.0,2024-07-10T15:07:58.422304,real,1
34,65_PIDV_03_Value,0.0,2024-07-10T15:07:58.452198,real,1
16,65_LSH_02A,1,2024-07-10T15:08:37.679783,bit,1
17,65_LSL_02A,1,2024-07-10T15:09:54.271392,bit,1
0,65_RV_01B_Status,0,2024-07-10T15:21:15.724201,int,1
1,65_VFBD_01_Status,0,2024-07-10T15:21:15.733561,int,1
0,65_FD_01C_Faulted,0,2024-07-10T15:21:15.743754,bit,1
1,65_BC_01_Faulted,0,2024-07-10T15:21:15.745925,bit,1
0,65_PIDV_01_Status,0,2024-07-10T15:21:15.748379,bit,1
1,65_PIDV_02_Status,0,2024-07-10T15:21:15.752697,bit,1
2,65_PIDV_03_Status,0,2024-07-10T15:21:15.756847,bit,1
3,65_ZSI_01B,0,2024-07-10T15:21:15.764986,bit,1
4,65_ZSI_07B,0,2024-07-10T15:21:15.775294,bit,1
5,65_CSI_01B,0,2024-07-10T15:21:15.778495,bit,1
6,65_LSH_01B,0,2024-07-10T15:21:15.781621,bit,1
2,65_SC_01_Faulted,0,2024-07-10T15:21:15.792421,bit,1
3,65_SC_03_Faulted,0,2024-07-10T15:21:15.794477,bit,1
4,65_VRM_01_Faulted,0,2024-07-10T15:21:15.800185,bit,1
5,Spare_0,0,2024-07-10T15:21:15.802495,bit,1
0,65_RV_01B_F,0.0,2024-07-10T15:21:15.804666,real,1
0,66_LSH_01A,0,2024-07-10T15:21:15.812516,bit,1
1,ESTOP,0,2024-07-10T15:21:15.821428,bit,1
2,Add_Material,0,2024-07-10T15:21:15.823473,bit,1
7,65_LSL_01B,0,2024-07-10T15:21:15.827688,bit,1
6,Spare_1,0,2024-07-10T15:21:15.839082,bit,1
7,Spare_2,0,2024-07-10T15:21:15.841218,bit,1
8,Spare_3,0,2024-07-10T15:21:15.843130,bit,1
9,Spare_4,0,2024-07-10T15:21:15.845389,bit,1
10,Spare_5,0,2024-07-10T15:21:15.867362,bit,1
11,Spare_6,0,2024-07-10T15:21:15.868872,bit,1
1,65_VFBD_01_F,0.0,2024-07-10T15:21:15.875057,real,1
2,65_VFBD_02_Status,0,2024-07-10T15:21:15.884822,int,1
